variable,iv
clasi_act_empre,0.03709735597311384
cobertura_deuda_12m,0.03701139834809488
utilidad_neta_12med,0.0366110424511136
departamento_cat,0.0361649238788614
clasi_geo_cat,0.03548311667526278
rat_svivo_spas_12m,0.03500171004204653
rat_ventas_lim_12med,0.034842606738794274
rat_sdebe_shaber_12m,0.03350592044833169
cob_deuda_tot_6m,0.03297283878010154
utilidad_neta_12max,0.032846647097254614
pasivo_circ,0.03159765997842358
rat_spasivo_sneto_6m,0.031066212278149055
cobertura_deuda,0.030712725042096142
rat_solvencia,0.030378115158987452
ut_bruta_pasivolp,0.02979867490079225
rat_ventas_limite_6m,0.02928864944953556
rat_ventas_tot_sal,0.029211360900905304
cobertura_deuda_6m,0.02913514334030524
saldo_neto_12var,0.02898093319867429
pasivo_lp,0.0285471404770613
pasivo_no_circ,0.0285471404770613
gasto_fin_ventas,0.028443770953586068
ut_bruta_pasivolp_6m,0.028296354801280177
rot_cap_trabajo,0.02648768371674921
rat_ventas_limite,0.025388506375252227
rat_ventas_tsal_6m,0.025338528001696833
utilidad_neta_6med,0.025118075248318508
cob_deuda_tot_12m,0.024602389141120264
rat_ventas_tsal_6md,0.024498482249399288
rat_pasivot_ebitda,0.023503694356778813
rat_pasivolp_ebitda,0.023503694356778813
rat_ventas_lim_6med,0.023331147133544373
rat_liquidez,0.021924223044365296
rat_actcir_ncirc,0.021394084313006594
rat_pasnocirc_pastot,0.02131822653148786
rat_activos_sactivo,0.021252315617590677
rat_acnocirc_actotal,0.021182468729117873
ebitda,0.021016262808446
cob_int_6m,0.020802191612633265
gastos_fin,0.020488887968502976
limite,0.02020361664373554
limite_12m,0.020046995397125195
rat_pasivolp_ebit,0.01987153030237996
cob_int_fin_12m,0.019611718800908614
cob_int_12m,0.01948908146843934
activo_circ,0.0190084455628374
ut_bruta_paslp_12m,0.01888197148408149
rat_pasivos_spasivo,0.018622076091713877
rat_uneta_sactivo,0.01776592521404665
rat_ebit_sact,0.017693976714816522
cob_int_fin,0.017647579216460856
cobertura_intereses,0.017647579216460856
productividad_6m,0.01759096522862751
ebit,0.016675038598681278
rat_pasivos_sactivo,0.0162565259589242
utilidad_neta,0.016042154474128215
rat_liquidez_6m,0.015988431943466018
