variable,n_bins,iv_total
siniincicap_v_6max,2,0.6381008262891914
siniincicap_v_6med,2,0.6498824867283911
spashaber_prom_12med,2,0.2467833601864805
spashaber_prom_6med,2,0.3463591003660831
spasivohabe_prom,2,0.4468150831031432
spasivohabe_prom_12m,3,0.1533377259615536
spasivohabe_prom_6m,2,0.2742033680182157
tasa_impuestos,3,0.0396272510520549
tasa_impuestos_12m,3,0.0803153154595104
tasa_impuestos_6m,4,0.0601101851759304
tasa_operacion,2,0.0701976892194308
tasaoperacion_pond,2,0.074299417257048
total_deuda,2,0.1722151423490154
total_saldo,2,0.0484375565217083
total_saldo_12m,2,0.1071449066562681
total_saldo_12max,2,0.0852939675580047
total_saldo_12med,3,0.1408793419092437
total_saldo_12var,2,0.0724830393387218
total_saldo_6m,2,0.0412707258689794
total_saldo_6max,3,0.0982846972163406
total_saldo_6med,2,0.1112440527403233
total_saldo_6var,2,0.040734865153521
total_ventas,2,0.002179932453115
ut_bruta_pasivolp,2,0.0297986749007922
ut_bruta_pasivolp_6m,2,0.0282963548012801
ut_bruta_paslp_12m,2,0.0188819714840814
utilidad_bruta,2,0.0005025731092554
utilidad_neta,2,0.0160421544741282
utilidad_neta_12m,2,0.057738258507142
utilidad_neta_12max,2,0.0328466470972546
utilidad_neta_12med,3,0.0366110424511136
utilidad_neta_12var,2,0.0503385002270096
utilidad_neta_6m,2,0.037484733900518
utilidad_neta_6max,2,0.0373829572206993
utilidad_neta_6med,2,0.0251180752483185
utilidad_neta_6var,2,0.0513134277875386
