variable,var_type,bin,count,bads,goods,dist_bad,dist_good,woe,iv_component,iv_total
rat_pas_act_12m,num,bin_5,14486,671,13815,0.7261904761904762,0.8322289156626506,-0.13629519768288464,0.014452530069844607,0.0663935763038916
rat_pas_patrinet_12m,num,bin_1,3793,304,3489,0.329004329004329,0.21018072289156625,0.44810316292239816,0.0532452337289742,0.0726184092302867
rat_pas_patrinet_12m,num,bin_6,13731,620,13111,0.670995670995671,0.7898192771084337,-0.16304147075731398,0.019373175501312588,0.0726184092302867
rent_patrimonio_12m,num,bin_1,3793,297,3496,0.32142857142857145,0.21060240963855423,0.4228033047302241,0.04685766745538577,0.0636234894139432
rent_patrimonio_12m,num,bin_6,13731,627,13104,0.6785714285714286,0.7893975903614457,-0.1512803627569794,0.016765821958557484,0.0636234894139432
rent_activos_12m,num,bin_1,3798,284,3514,0.30735930735930733,0.2116867469879518,0.3729098721171139,0.03567724225319904,0.0480557557648933
rent_activos_12m,num,bin_6,13726,640,13086,0.6926406926406926,0.7883132530120482,-0.12938415637301612,0.012378513511694302,0.0480557557648933
rat_ebit_activos_12m,num,bin_1,3798,284,3514,0.30735930735930733,0.2116867469879518,0.3729098721171139,0.03567724225319904,0.0480557557648933
rat_ebit_activos_12m,num,bin_6,13726,640,13086,0.6926406926406926,0.7883132530120482,-0.12938415637301612,0.012378513511694302,0.0480557557648933
margen_operativo_12m,num,bin_1,4492,337,4155,0.3647186147186147,0.2503012048192771,0.3764611257657637,0.04307370693790748,0.0620216295937997
margen_operativo_12m,num,bin_7,13032,587,12445,0.6352813852813853,0.7496987951807229,-0.16560349227064547,0.018947922655892225,0.0620216295937997
roa_12m,num,bin_1,6073,428,5645,0.46320346320346323,0.3400602409638554,0.309043621700985,0.038056627388857685,0.0634893259753153
roa_12m,num,bin_9,11451,496,10955,0.5367965367965368,0.6599397590361445,-0.20652942260168886,0.025432698586457633,0.0634893259753153
productividad_12m,num,bin_1,1491,118,1373,0.1277056277056277,0.08271084337349398,0.43437712140064416,0.019544704896235058,0.063610369845127
productividad_12m,num,bin_3,4471,302,4169,0.3268398268398268,0.251144578313253,0.2634414421970233,0.019941265439302715,0.063610369845127
productividad_12m,num,bin_9,11562,504,11058,0.5454545454545454,0.666144578313253,-0.19988725612355926,0.02412439950958927,0.063610369845127
margen_neto_12m,num,bin_1,4493,340,4153,0.36796536796536794,0.2501807228915663,0.38580527668240383,0.04544193758163678,0.0655699227733906
margen_neto_12m,num,bin_7,13031,584,12447,0.6320346320346321,0.7498192771084338,-0.17088802346980014,0.020127985191753905,0.0655699227733906
margen_bruto_12m,num,bin_1,749,31,718,0.03354978354978355,0.04325301204819277,-0.2540364618601274,0.0024649738363562348,0.0025628872921327
margen_bruto_12m,num,bin_2,16775,893,15882,0.9664502164502164,0.9567469879518072,0.0100908121242932,9.791345577653497e-05,0.0025628872921327
margen_ebit_12m,num,bin_1,3744,286,3458,0.30952380952380953,0.2083132530120482,0.39599204727956727,0.04007857547939671,0.0539225907471826
margen_ebit_12m,num,bin_6,13780,638,13142,0.6904761904761905,0.7916867469879518,-0.13678430141007286,0.013844015267785979,0.0539225907471826
roa2_12m,num,bin_1,6073,428,5645,0.46320346320346323,0.3400602409638554,0.309043621700985,0.038056627388857685,0.0634893259753153
roa2_12m,num,bin_9,11451,496,10955,0.5367965367965368,0.6599397590361445,-0.20652942260168886,0.025432698586457633,0.0634893259753153
rot_cap_trabajo_12m,num,bin_1,3033,238,2795,0.25757575757575757,0.16837349397590362,0.4251291907852256,0.037922486140416295,0.0698984039526796
rot_cap_trabajo_12m,num,bin_5,3031,190,2841,0.20562770562770563,0.171144578313253,0.18355859300924873,0.006329674332399719,0.0698984039526796
rot_cap_trabajo_12m,num,bin_9,11460,496,10964,0.5367965367965368,0.6604819277108434,-0.20735062799479834,0.025646243479863582,0.0698984039526796
rot_act_tot_12m,num,bin_1,5315,395,4920,0.4274891774891775,0.2963855421686747,0.36626785811771845,0.04801904770028702,0.075052475950184
rot_act_tot_12m,num,bin_8,12209,529,11680,0.5725108225108225,0.7036144578313253,-0.2061989218209681,0.027033428249897056,0.075052475950184
rot_act_fijo_12m,num,bin_1,10001,617,9384,0.6677489177489178,0.5653012048192771,0.16655353627502673,0.017063028871720422,0.0445971232464648
rot_act_fijo_12m,num,bin_9,7523,307,7216,0.33225108225108224,0.4346987951807229,-0.26876241145231206,0.027534094374744435,0.0445971232464648
cob_int_12m,num,bin_1,1496,116,1380,0.12554112554112554,0.08313253012048193,0.4121973156580648,0.017480709193218195,0.0194890814684393
cob_int_12m,num,bin_4,16028,808,15220,0.8744588744588745,0.9168674698795181,-0.04735767019163092,0.0020083722752211475,0.0194890814684393
cob_int_fin_12m,num,bin_1,1494,116,1378,0.12554112554112554,0.08301204819277108,0.41364764223571127,0.017592052571607016,0.0196117188009086
cob_int_fin_12m,num,bin_4,16030,808,15222,0.8744588744588745,0.9169879518072289,-0.04748906760329104,0.002019666229301597,0.0196117188009086
cobertura_deuda_12m,num,bin_1,4923,338,4585,0.3658008658008658,0.27620481927710844,0.28094641349540395,0.025171687934216983,0.0370113983480948
cobertura_deuda_12m,num,bin_9,12601,586,12015,0.6341991341991342,0.7237951807228916,-0.13214545589060633,0.011839710413877897,0.0370113983480948
cob_deuda_tot_12m,num,bin_1,3003,213,2790,0.2305194805194805,0.1680722891566265,0.31594119359696426,0.019729640175958133,0.0246023891411202
cob_deuda_tot_12m,num,bin_5,14521,711,13810,0.7694805194805194,0.8319277108433735,-0.07802991389714652,0.004872748965162132,0.0246023891411202
captrab_ventas_12m,num,bin_1,5988,425,5563,0.45995670995670995,0.3351204819277108,0.31664226155207414,0.039528425566732715,0.0654889362782252
captrab_ventas_12m,num,bin_9,11536,499,11037,0.54004329004329,0.6648795180722892,-0.20795654531841504,0.025960510711492562,0.0654889362782252
gasto_fin_ventas_12m,num,bin_1,10271,638,9633,0.6904761904761905,0.5803012048192772,0.17383420329011653,0.019152180854169542,0.0527007153517354
gasto_fin_ventas_12m,num,bin_6,7253,286,6967,0.30952380952380953,0.4196987951807229,-0.3045022815073159,0.033548534497565924,0.0527007153517354
